District,driver,spearman,pearson,n
AZAMGARH,rain_7d,-0.1789,-0.2574,53
AZAMGARH,rain_30d,0.2768,0.4137,53
BAGHPAT,rain_7d,0.5273,0.6442,59
BAGHPAT,rain_30d,0.4398,0.6106,59
GORAKHPUR,rain_7d,-0.2521,-0.3275,115
GORAKHPUR,rain_30d,0.1109,0.292,115
MEERUT,rain_7d,-0.0232,-0.0092,170
MEERUT,rain_30d,-0.0901,-0.0437,170
MUZAFFARNAGAR,rain_7d,-0.131,-0.0418,1211
MUZAFFARNAGAR,rain_30d,-0.1411,-0.0602,1211
SAHARANPUR,rain_7d,0.0797,0.1326,271
SAHARANPUR,rain_30d,0.0823,0.173,271
SONBHADRA,rain_7d,0.065,0.0395,3877
SONBHADRA,rain_30d,0.0357,0.0263,3877
AZAMGARH,humidity,0.0702,0.0896,12674
AZAMGARH,solar,0.0206,0.0418,12674
CHITRAKOOT,humidity,0.0063,-0.0001,216
CHITRAKOOT,solar,-0.0058,-0.0003,216
GORAKHPUR,humidity,,,82
GORAKHPUR,solar,,,82
JAUNPUR,humidity,-0.0391,-0.0647,8823
JAUNPUR,solar,-0.0465,-0.0384,8823
KAUSHAMBI,humidity,0.0262,0.0056,108
KAUSHAMBI,solar,-0.0161,-0.009,108
MIRZAPUR,humidity,-0.0234,0.1147,8476
MIRZAPUR,solar,-0.0667,0.0692,8476
PRATAPGARH,humidity,0.0768,0.0125,72
PRATAPGARH,solar,0.0125,0.0018,72
SANT RAVIDAS NAGAR,humidity,0.0655,0.0819,7188
SANT RAVIDAS NAGAR,solar,0.0035,0.0354,7188
SONBHADRA,humidity,-0.0819,-0.085,3358
SONBHADRA,solar,-0.096,-0.0429,3358
VARANASI,humidity,-0.0222,-0.02,10651
VARANASI,solar,-0.025,-0.0215,10651
