driver,metric,mode,corr,stations_ok
canal_level,pearson,raw,-0.1864,76
canal_level,spearman,deseason,-0.11,57
canal_level,spearman,diff,-0.0174,76
canal_level,spearman,raw,-0.1398,76
doy_cos,pearson,raw,0.3156,549
doy_cos,spearman,raw,0.3792,549
doy_sin,pearson,raw,-0.0977,549
doy_sin,spearman,raw,-0.1704,549
gwl,pearson,raw,1.0,549
gwl,spearman,raw,1.0,549
gwl_roll30_mean,pearson,raw,0.9065,549
gwl_roll30_mean,spearman,raw,0.9069,549
gwl_roll30_std,pearson,raw,0.0633,549
gwl_roll30_std,spearman,raw,0.008,549
gwl_roll7_mean,pearson,raw,0.9777,549
gwl_roll7_mean,spearman,raw,0.9746,549
gwl_roll7_std,pearson,raw,-0.0001,549
gwl_roll7_std,spearman,raw,-0.0471,549
hour_cos,pearson,raw,0.0037,549
hour_cos,spearman,raw,0.0078,549
hour_sin,pearson,raw,0.0042,549
hour_sin,spearman,raw,0.0036,549
humidity,pearson,raw,0.1493,101
humidity,spearman,deseason,-0.1626,101
humidity,spearman,diff,-0.0058,101
humidity,spearman,raw,0.0783,101
humidity_7d,pearson,raw,0.1447,129
humidity_7d,spearman,raw,0.1656,129
lag1,pearson,raw,0.9929,549
lag1,spearman,raw,0.9894,549
lag120,pearson,raw,0.7155,549
lag120,spearman,raw,0.7374,549
lag28,pearson,raw,0.9368,549
lag28,spearman,raw,0.942,549
lag4,pearson,raw,0.9887,549
lag4,spearman,raw,0.9869,549
lag8,pearson,raw,0.9792,549
lag8,spearman,raw,0.9793,549
monsoon,pearson,raw,0.0683,549
monsoon,spearman,raw,0.0629,549
month_cos,pearson,raw,0.3556,549
month_cos,spearman,raw,0.4318,549
month_sin,pearson,raw,-0.0221,549
month_sin,spearman,raw,-0.0795,549
pressure,pearson,raw,-0.0085,127
pressure,spearman,deseason,0.2279,105
pressure,spearman,diff,-0.0187,127
pressure,spearman,raw,0.2115,127
rain,pearson,raw,-0.0124,538
rain,spearman,raw,0.0062,538
rain_1d,pearson,raw,-0.0124,538
rain_1d,spearman,diff,-0.0027,479
rain_1d,spearman,raw,0.0062,538
rain_30d,pearson,raw,-0.2385,75
rain_30d,spearman,diff,0.005,75
rain_30d,spearman,raw,-0.235,75
rain_7d,pearson,raw,0.0729,325
rain_7d,spearman,diff,0.0211,270
rain_7d,spearman,raw,0.0038,325
river_level,pearson,raw,0.1167,50
river_level,spearman,deseason,0.0435,48
river_level,spearman,diff,0.1024,50
river_level,spearman,raw,0.1289,50
solar,pearson,raw,-0.0388,101
solar,spearman,deseason,-0.0732,87
solar,spearman,diff,0.0017,101
solar,spearman,raw,-0.0597,101
temp,pearson,raw,-0.0459,118
temp,spearman,deseason,0.0868,104
temp,spearman,diff,0.0139,118
temp,spearman,raw,-0.0373,118
temp_7d,pearson,raw,-0.0433,115
temp_7d,spearman,raw,-0.0049,115
wind_dir,pearson,raw,0.0864,127
wind_dir,spearman,raw,-0.023,127
wind_speed,pearson,raw,-0.0218,143
wind_speed,spearman,deseason,0.0119,143
wind_speed,spearman,diff,0.001,143
wind_speed,spearman,raw,-0.0975,143
year,pearson,raw,-0.1066,549
year,spearman,raw,-0.0745,549
